Company Name,Company Description,Unnamed: 2,Website URL,Linkedin URL,Careers Page URL,Job listings page URL,job post1 URL,job post1 title,job post2 URL,job post2 title,job post3 URL,job post3 title
Eurofins,"Analytical testing services promoting safer, healthier, and more sustainable environments globally.",,https://www.eurofins.com/,https://lu.linkedin.com/company/eurofins,https://www.eurofins.com/careers,https://careers.smartrecruiters.com/Eurofins?search=&page=0&location=Amsterdam,https://jobs.smartrecruiters.com/Eurofins/744000076112631-bijbaan-in-een-laboratorium-waterkwaliteit-avond-,"Bijbaan In Een Laboratorium Waterkwaliteit (Avond)Amsterdam, NetherlandsFull-time",https://jobs.smartrecruiters.com/Eurofins/744000076071465-manager-business-control,"Manager Business ControlAmsterdam, NetherlandsFull-time",https://jobs.smartrecruiters.com/Eurofins/744000074997477-customer-support-project-coordinator,"Customer Support & Project CoördinatorAmsterdam, NetherlandsFull-time"
Contact Energy,"Driving New Zealand's transition to reliable, low-carbon renewable energy.",,https://ecmc.colorado.gov/programs/geothermal,https://th.linkedin.com/company/contactenergy,,https://careers.smartrecruiters.com/ContactEnergy,https://jobs.smartrecruiters.com/ContactEnergy/744000074680535-drilling-engineer,Drilling EngineerFull-time,,,,
Amini,Building Africa's environmental data infrastructure with AI to address climate challenges.,,https://www.amini.ai/,https://ke.linkedin.com/company/aminiai,,,,,,,,
Landis+Gyr,Empowering a smarter grid for reduced environmental footprints and energy efficiency worldwide.,,https://www.landisgyr.com/,https://www.linkedin.com/company/landis,https://careers.landisgyr.com/,,https://careers.landisgyr.com/search/,Follow this link to reach our Job Search page to search for available jobs in a more accessible format.,https://careers.landisgyr.com/search/,Follow this link to reach our Job Search page to search for available jobs in a more accessible format.,,
Blockchain & Climate Institute,"Empowering climate action with blockchain, AI, and IoT for a sustainable future.",,https://uk.linkedin.com/company/blockchainclimateinstitute,https://uk.linkedin.com/company/blockchainclimateinstitute,,,,,,,,
Environmental Resources Management,"Strategic consultancy accelerating global sustainability, enabling low-carbon futures and advancing ESG priorities worldwide.",,https://www.erm.com/,https://uk.linkedin.com/company/erm,https://www.erm.com/careers/,,https://www.erm.com/careers/careers/,Careers,https://www.erm.com/careers/careers/create-your-career/,Learn more,https://www.erm.com/careers/careers/life-at-erm/,Learn more
Emitwise,"Our mission is to accelerate the world’s transition to net zero carbon, but we need to move quickly.",,https://emitwise.com/careers/,https://uk.linkedin.com/company/emitwise,https://emitwise.com/careers/careers,https://jobs.lever.co/emitwise,,,,,,
Vattenfall,Pioneering fossil-free energy for a sustainable future.,,https://group.vattenfall.com/,https://se.linkedin.com/company/vattenfall,https://careers.vattenfall.com/global/en,https://careers.vattenfall.com/global/en,https://careers.vattenfall.com/global/en/global/job/trainer-in-helsinki-jid-49273,Trainer,https://careers.vattenfall.com/global/en/global/job/sales-coach-in-helsinki-jid-49272,Sales Coach,https://careers.vattenfall.com/global/en/global/job/m-and-a-transaction-manager-in-solna-jid-49271,M&A Transaction Manager
EcoVadis,Empowering companies with actionable insights to improve sustainability and reduce environmental impact.,,https://ecovadis.com/,https://mu.linkedin.com/company/ecovadis/?trk=organization-update_share-update_actor-text,https://ecovadis.com/careers/,https://careers.smartrecruiters.com/ecovadis,https://jobs.smartrecruiters.com/ecovadis/744000074005179-program-project-manager-transformation-office,"Program / Project Manager - Transformation OfficeBarcelona, Spain",https://jobs.smartrecruiters.com/ecovadis/744000075163071-customer-onboarding-coordinator-spanish-and-english-speaker,"Customer Onboarding Coordinator - Spanish and English SpeakerMexico City, Mexico",https://jobs.smartrecruiters.com/ecovadis/744000074733850-sector-initiatives-program-manager,"Sector Initiatives Program ManagerBarcelona, Spain"
Fastmarkets Ltd,"Empowering strategic decisions with market insights and networking in volatile, opaque markets.",,https://www.fastmarkets.com/about-us/people/perrine-faye/,https://uk.linkedin.com/company/fastmarkets,,,,,,,,
Grid Edge,"AI-driven solutions for energy optimization, transforming buildings into smart, sustainable participants in the energy system.",,https://www.siemens.com/us/en/company/topic-areas/grid-edge.html,https://uk.linkedin.com/company/grid-edge,,,,,,,,
One • fıve,"Circular, cleaner, tailor-made packaging to reduce consumer goods industry’s environmental impact.",,,https://www.linkedin.com/company/five-star-franchising,,,,,,,,
Flower ⚡,"Powering renewable efficiency with software for flexible, sustainable energy systems.",,https://climatebase.org/job/62493602/e-mobility-project-manager-intern,https://www.linkedin.com/company/kitepower-bv/,https://climatebase.org/job/62493602/e-mobility-project-manager-intern/careers,https://climatebase.org/job/62493602/e-mobility-project-manager-intern/careers,https://climatebase.org/job/62493602/e-mobility-project-manager-intern/careers/company/1133105/qwello?source=job_directory,Qwello,https://climatebase.org/job/62493602/e-mobility-project-manager-intern/careers/company/1133105/qwello?source=job_directory,Qwello,https://climatebase.org/job/62493602/e-mobility-project-manager-intern/careers/company/1133105/qwello?source=job_directory,Qwello
Beam,Beam helps accelerate the transition to renewable energy focusing on offshore wind,,https://raleighnc.gov/climate-action-and-sustainability/news/celebrating-earth-month-ourpowerourplanet,https://uk.linkedin.com/company/welcometobeam,,https://jobs.lever.co/beam,,,,,,
PVcase,Revolutionizing solar design to maximize yield and reduce carbon footprints globally.,,https://pvcase.com/,https://lt.linkedin.com/company/pvcase,https://jobs.pvcase.com/,,,,,,,
Vertical Aerospace,"Revolutionizing personal air travel with on-demand, carbon-free aircraft.",,https://vertical-aerospace.com/,https://uk.linkedin.com/company/vertical-aerospace-ltd,https://vertical-aerospace.com/careers,,https://vertical-aerospace.com/careers/,Careers,,,,
AMPECO,Accelerating global EV charging infrastructure for a sustainable future.,,https://www.ampeco.com/,https://bg.linkedin.com/company/ampeco,https://www.ampeco.com/careers/,https://jobs.lever.co/ampeco-global,https://jobs.lever.co/ampeco-global/ebff3f51-a015-40b5-b57f-2cc4101f6a00,Apply,https://jobs.lever.co/ampeco-global/ebff3f51-a015-40b5-b57f-2cc4101f6a00,Apply,https://jobs.lever.co/ampeco-global/ebff3f51-a015-40b5-b57f-2cc4101f6a00,Apply
Einride,"Revolutionizing freight transport to be emission-free, safe, and sustainable.",,https://www.einride.tech/,https://www.linkedin.com/company/lanevc,,,,,,,,
Climate Analytics Inc.,"Driving climate action through science, policy support, and global policy analysis.",,https://www.zoominfo.com/c/climate-analytics-inc/353134159,https://www.linkedin.com/company/climate-analytics,https://www.zoominfo.com/c/climate-analytics-inc/353134159/careers,,,,,,,
National Park City Foundation,"Transforming urban areas into greener, healthier, and wilder National Park Cities.",,https://www.nationalparkcity.org/,https://www.linkedin.com/company/national-park-city-foundation,https://www.nationalparkcity.org/careers,,,,,,,
OVO Energy,"Making energy cheaper, greener, and simpler for a sustainable future.",,https://forum.ovoenergy.com/power-move-156/greener-living-all-year-round-how-are-people-reducing-energy-16619,https://uk.linkedin.com/company/ovoenergy,,,,,,,,
Pivotal Future,Building a future-ready economy balancing business growth with positive environmental impact.,,https://climatebase.org/job/62030190/nature-tech-intern?source=job_directory,https://in.linkedin.com/company/avaana-capital,https://climatebase.org/job/62030190/nature-tech-intern?source=job_directory/careers,https://climatebase.org/job/62030190/nature-tech-intern?source=job_directory/careers,https://climatebase.org/job/62030190/nature-tech-intern?source=job_directory/careers/company/1139492/solom?source=job_directory,Solom,https://climatebase.org/job/62030190/nature-tech-intern?source=job_directory/careers/company/1139492/solom?source=job_directory,Solom,https://climatebase.org/job/62030190/nature-tech-intern?source=job_directory/careers/company/1139492/solom?source=job_directory,Solom
Ecoworks,"Revolutionizing multi-family housing with rapid, eco-friendly modernizations through pre-fabrication and efficient energy systems.",,https://www.blackhornvc.com/news-and-posts/blackhorn-ventures-backs-ecoworks-to-scale-modular-carbon-neutral-buildings,https://www.linkedin.com/company/ecoworksnetzerobuildings/,,,,,,,,
ICAP Energy AS,Driving sustainable markets with innovative energy and commodities brokering.,,https://climatebase.org/job/63213510/risk-product-engineer-parameta-solutions?source=job_directory,https://www.linkedin.com/company/evolution-markets,https://climatebase.org/job/63213510/risk-product-engineer-parameta-solutions?source=job_directory/careers,https://climatebase.org/job/63213510/risk-product-engineer-parameta-solutions?source=job_directory/careers,https://climatebase.org/job/63213510/risk-product-engineer-parameta-solutions?source=job_directory/careers/company/1136475/icap-energy-as?source=job_directory,ICAP Energy AS,https://climatebase.org/job/63213510/risk-product-engineer-parameta-solutions?source=job_directory/careers/company/1136475/icap-energy-as?source=job_directory,ICAP Energy AS,https://climatebase.org/job/63213510/risk-product-engineer-parameta-solutions?source=job_directory/careers/company/1136475/icap-energy-as?source=job_directory,ICAP Energy AS
Freudenberg,Tailor-made emission-neutral energy systems for sustainable heavy-duty e-mobility.,,https://climatebase.org/job/61686815/maintenance-technician?source=job_directory,https://www.linkedin.com/company/freudenbergepowersystems,https://climatebase.org/job/61686815/maintenance-technician?source=job_directory/careers,https://climatebase.org/job/61686815/maintenance-technician?source=job_directory/careers,https://climatebase.org/job/61686815/maintenance-technician?source=job_directory/careers/company/1136838/freudenberg?source=job_directory,Freudenberg,https://climatebase.org/job/61686815/maintenance-technician?source=job_directory/careers/company/1136838/freudenberg?source=job_directory,Freudenberg,https://climatebase.org/job/61686815/maintenance-technician?source=job_directory/careers/company/1136838/freudenberg?source=job_directory,Freudenberg
TÜV SÜD America,Enabling safer technology to protect the environment and ensure a sustainable future.,,https://www.tuvsud.com/en-us/press-and-media,https://www.linkedin.com/company/tuvsud,https://www.tuvsud.com/en-us/press-and-media/careers,,,,,,,
Wartsila,Innovative tech and services advancing global decarbonization and sustainability.,,https://www.wartsila.com/,https://www.linkedin.com/company/wartsila,https://www.wartsila.com/careers,,https://www.wartsila.com/careers/careers/why-wartsila,Why Wärtsilä?,https://www.wartsila.com/careers/careers/why-wartsila/employee-benefits,Employee benefits,https://www.wartsila.com/careers/careers/career-areas,Career areas
AFRY Management Consulting,"Accelerating sustainable change across energy, bioindustry, infrastructure, and mobility globally.",,https://afry.com/en/offerings/afry-management-consulting,https://www.linkedin.com/company/afry,https://afry.com/en/offerings/afry-management-consulting/careers,,,,,,,
Samsara Eco,"Innovative enzymatic tech enables endless recycling of plastics, reducing waste and conserving resources.",,https://www.samsaraeco.com/,https://au.linkedin.com/company/samsara-eco,https://www.samsaraeco.com/,,,,,,,
Aerobotics,Optimizing crop performance globally with aerial imagery to enhance farming sustainability.,,https://aerobotics.com/drone-scan,https://za.linkedin.com/company/aerobotics,,,,,,,,
Aggreko,Innovative energy solutions reducing environmental impact globally.,,https://www.aggreko.com/en-us/news/2024/nam-articles/events/formula-e,https://in.linkedin.com/company/aggreko,,,,,,,,
Aliaxis,Supporting water and clean energy with innovative pipes and fittings,,https://aliaxis.com/,https://www.linkedin.com/company/aliaxis-emea-international,https://aliaxis.com/careers,,https://aliaxis.com/careers/,Careers,,,,
Tomra,"Advanced systems optimizing resource recovery for a circular, waste-minimized economy.",,https://www.tomra.com/,https://www.linkedin.com/company/tomra,https://www.tomra.com/careers,https://careers.smartrecruiters.com/Tomra,https://jobs.smartrecruiters.com/Tomra/744000071419445-financial-accountant,Financial AccountantFull-time,https://jobs.smartrecruiters.com/Tomra/744000067486094--,"Τεχνικός Συντήρησης, ΑθήναFull-time",https://jobs.smartrecruiters.com/Tomra/744000040933795--,"Τεχνικός Συντήρησης, ΘεσσαλονίκηFull-time"
BlueLayer,"Empowering carbon project developers to drive removal, protect nature, and restore ecosystems efficiently.",,https://carboncredits.com/bluelayer-secures-10m-to-revolutionize-carbon-project-development/,https://de.linkedin.com/company/getbluelayer,https://carboncredits.com/wp-content/uploads/2021/11/join-us.jpg,,,,,,,
Envelio,"Combat air pollution for a cleaner, healthier planet.",,https://envelio.com/igp/grid-data-management-distribution-grids,https://www.linkedin.com/company/camfil-air-pollution-control,,,,,,,,
ONYX Insight,"Predictive analytics to optimize wind energy, boosting production and minimizing downtime globally.",,https://onyxinsight.com/,https://www.linkedin.com/company/onyx-insight,,,,,,,,
Agreena,Minting carbon credits to incentivize regenerative farming for a greener future.,,https://agreena.com/,https://www.linkedin.com/company/agreena/,,,,,,,,
Ofload,Optimizing freight to reduce emissions and create sustainable supply chains across Australia.,,https://www.ofload.com.au/sustainability,https://au.linkedin.com/company/ofload,,,,,,,,
Enlight Renewable Energy,"Scaling global solar, wind, and energy storage for a sustainable future.",,https://enlightenergy.co.il/,https://il.linkedin.com/company/enlight-renewable-energy-ltd-enlt-,https://enlightenergy.co.il/careers,,https://enlightenergy.co.il/info/careers/,EN,https://enlightenergy.co.il/he/info/careers/,HE,,
Xpeng Motors,"Pioneering intelligent EVs and eVTOLs for a sustainable, eco-friendly future.",,https://www.xpeng.com/news/0183c70e409582358aaf2c9e2324117a,https://www.linkedin.com/company/calb-technology/mycompany/?viewAsMember=true,https://www.xpeng.com/404?errorUrl=%2Fnews%2F0183c70e409582358aaf2c9e2324117a%2Fcareers,,,,,,,
Raylo,"Empowering circular economy with sustainable, affordable lease-and-reuse of consumer goods.",,https://www.raylo.com/blog/circularity-and-reuse-at-raylo,https://uk.linkedin.com/company/raylo,,,,,,,,
BackMarket,"Marketplace for restored gadgets, reducing e-waste and promoting sustainable tech consumption.",,https://www.backmarket.com/en-us,https://www.linkedin.com/company/back-market,,,,,,,,
Protera,"Cutting-edge protein tech for sustainable, nutritious food and reduced environmental impact.",,https://climatebase.org/job/62692476/senior-cloud-engineer?source=job_directory,https://hr.linkedin.com/company/kura-biotech,https://climatebase.org/job/62692476/senior-cloud-engineer?source=job_directory/careers,https://climatebase.org/job/62692476/senior-cloud-engineer?source=job_directory/careers,https://climatebase.org/job/62692476/senior-cloud-engineer?source=job_directory/careers/company/1136870/protera?source=job_directory,Protera,https://climatebase.org/job/62692476/senior-cloud-engineer?source=job_directory/careers/company/1136870/protera?source=job_directory,Protera,https://climatebase.org/job/62692476/senior-cloud-engineer?source=job_directory/careers/company/1136870/protera?source=job_directory,Protera
Stora Enso,"Innovative, renewable solutions for paper, biomaterials, and packaging, reducing carbon footprint globally.",,https://www.storaenso.com/en/,https://www.linkedin.com/company/stora-enso,https://www.storaenso.com/en/careers,,,,,,,
Memodo,Empowering sustainable energy solutions with a comprehensive range of solar and storage systems.,,https://www.memodo-shop.com/,https://www.linkedin.com/company/energizer-solar,,,,,,,,
Climate X,"Evaluate your organization's climate risk with comprehensive, integrated physical risk insights.",,https://www.climate-x.com/,https://uk.linkedin.com/company/climate-x,https://www.climate-x.com/careers,,,,,,,
Scatec Solar,"Delivering affordable, sustainable solar power worldwide with a 600 MW installation track record.",,https://scatec.com/2015/07/09/scatec-solar-to-build-first-large-scale-solar-power-plant-in-west-africa/,https://www.linkedin.com/company/scatec/,https://scatec.com/2015/07/09/scatec-solar-to-build-first-large-scale-solar-power-plant-in-west-africa/careers,,,,,,,
Centrica Energy,"Driving global green energy transition with sustainable, predictable energy trading.",,https://www.centrica.com/,https://uk.linkedin.com/company/centricaenergy,https://www.centrica.com/careers,,,,,,,
Enpal,"Powering Europe's renewable future with flexible, hassle-free solar solutions. Join the green energy revolution.",,https://climatebase.org/job/62244064/senior-site-reliability-engineer-fmd-,https://www.linkedin.com/company/enpal-egypt,https://climatebase.org/job/62244064/senior-site-reliability-engineer-fmd-/careers,https://climatebase.org/job/62244064/senior-site-reliability-engineer-fmd-/careers,https://climatebase.org/job/62244064/senior-site-reliability-engineer-fmd-/careers/company/1134574/enpal?source=job_directory,Enpal,https://climatebase.org/job/62244064/senior-site-reliability-engineer-fmd-/careers/company/1134574/enpal?source=job_directory,Enpal,https://climatebase.org/job/62244064/senior-site-reliability-engineer-fmd-/careers/company/1134574/enpal?source=job_directory,Enpal
ProVeg International,Transforming global food systems to plant-based alternatives for a sustainable future.,,https://proveg.org/news/fixing-food-systems-protecting-biodiversity/,https://www.linkedin.com/company/proveginternational,https://proveg.org/careers/,,https://proveg.jobs.personio.de/job/2276237,(Senior) Strategic Program Manager for ProVeg ChinaChina RemotePermanentProVeg China,https://proveg.jobs.personio.de/job/2276237,(Senior) Strategic Program Manager for ProVeg ChinaChina RemotePermanentProVeg China,https://proveg.jobs.personio.de/job/2276237,(Senior) Strategic Program Manager for ProVeg ChinaChina RemotePermanentProVeg China
Renewable Energy Systems,Driving global clean energy with 22 GW new capacity in next five years.,,https://degrees.apps.asu.edu/masters-phd/major/ASU00/ESCESPHD/clean-energy-systems-phd?init=false&nopassive=true,https://ca.linkedin.com/company/international-renewable-energy-systems-inc,https://degrees.apps.asu.edu/masters-phd/major/ASU00/ESCESPHD/clean-energy-systems-phd?init=false&nopassive=true/careers,,https://admission.asu.edu/apply/graduate/admission,U.S. applicants,https://admission.asu.edu/apply/international/graduate,International applicants,https://admission.asu.edu/apply/international/graduate/english-proficiency,English proficiency
CDP Global,Global environmental disclosure leader empowering organizations with rich data for sustainable impact and innovation.,,https://www.cdp.net/en/about,https://uk.linkedin.com/company/cdp-worldwide,,,,,,,,
GreenFlux,Empowering e-mobility networks to accelerate sustainable transportation.,,https://www.greenflux.com/,https://www.linkedin.com/company/intercharge-network-conference/,https://www.greenflux.com/careers/,,https://www.greenflux.com/careers/careers/,CareersJoin our pursuit for a renewable energy future,https://www.greenflux.com/careers/,English,https://www.greenflux.com/careers/careers/#p-9732,Our charge
Navvis,Transforming physical spaces into digital twins for enhanced productivity and sustainability.,,https://www.navvis.com/ivion,https://www.linkedin.com/company/navvis,,,,,,,,
Gropyus,"Innovative tech for truly sustainable, affordable, and resource-conserving buildings.",,https://www.gropyus.com/,https://at.linkedin.com/company/gropyus,https://www.gropyus.com/careers,,,,,,,
Enter,Optimize home energy efficiency with tailored upgrades and maximize savings and subsidies.,,https://www.irs.gov/instructions/i5695,https://de.linkedin.com/company/enternow,,https://jobs.lever.co/enter-rcm-llc,https://jobs.lever.co/enter-rcm-llc/b2aac04e-002c-4ec0-bac4-c762e34d826d,Apply,https://jobs.lever.co/enter-rcm-llc/b2aac04e-002c-4ec0-bac4-c762e34d826d,Apply,https://jobs.lever.co/enter-rcm-llc/b2aac04e-002c-4ec0-bac4-c762e34d826d,Apply
Pioneer Transformers,Custom liquid-filled transformers designed for energy-efficient and sustainable electrical solutions.,,https://ermcopower.com/solutions/,https://www.linkedin.com/company/dongan-electric-manufacturing-co,https://ermcopower.com/careers/,,https://ermcopower.com/careers/careers/,CAREERS,https://pioneertransformers.com/careers/,SEE JOBS AT PIONEER TRANSFORMERS,,
International Council on Clean Transportation,Advancing eco-friendly and energy-efficient transport for a healthier planet.,,https://theicct.org/,https://www.linkedin.com/company/the-international-council-on-clean-transportation,https://theicct.org/careers,,https://theicct.org/about/careers/,Careers,,,,
BoxPower Inc.,"Modular microgrids delivering clean, reliable energy as a diesel generator alternative.",,https://boxpower.io/,https://www.linkedin.com/company/boxpower,https://boxpower.io/careers,,,,,,,
Global Energy Monitor,Empowering sustainable energy with open-access data on global infrastructure and resources.,,https://globalenergymonitor.org/,https://www.linkedin.com/company/global-energy-monitor,https://globalenergymonitor.org/about/jobs/,,,,,,,
World Resources Institute,"Driving sustainable solutions for climate, energy, water, and more to secure a sustainable future.",,https://www.wri.org/,https://www.linkedin.com/company/world-resources-institute,https://www.wri.org/careers,,,,,,,
Everlight Solar,"Hassle-free, affordable solar energy solutions with no upfront cost for homeowners.",,https://everlightsolar.com/minnesota/,https://www.linkedin.com/company/everlight-solar,https://everlightsolar.com/jobs/,,,,,,,
Serve Robotics,"Zero-emissions robots revolutionizing sustainable, self-driving food delivery.",,https://www.serverobotics.com/level-4-autonomy,https://www.linkedin.com/company/serverobotics,,,,,,,,
Common Energy,Switch to clean energy and reduce your carbon footprint in minutes.,,https://www.commonenergy.us/for-consumers,https://www.linkedin.com/company/common-energy,,,,,,,,
Scout Motors,Reimagining iconic American SUVs as next-gen all-electric trucks for a sustainable future.,,https://www.aam.com/media/story/aam-secures-new-business-to-support-scout-motors-iconic-suv-and-truck-launch,https://www.linkedin.com/company/scoutmotors,,https://job-boards.greenhouse.io/scoutmotors,https://job-boards.greenhouse.io/scoutmotors/jobs/4743751007,"Manager, Service OperationsColumbia, South Carolina; Future Headquarters; United States",https://job-boards.greenhouse.io/scoutmotors/jobs/4743751007,"Manager, Service OperationsColumbia, South Carolina; Future Headquarters; United States",https://job-boards.greenhouse.io/scoutmotors/jobs/4743751007,"Manager, Service OperationsColumbia, South Carolina; Future Headquarters; United States"
Re:Build Manufacturing,Revitalizing U.S. manufacturing with cutting-edge tech for a sustainable future.,,https://rebuildmanufacturing.com/newkensington/,https://www.linkedin.com/company/re-build-manufacturing,https://rebuildmanufacturing.com/careers/,,https://rebuildmanufacturing.com/careers/careers/,Careers,https://rebuildmanufacturing.com/careers/all-openings/,See All Openings,https://rebuildmanufacturing.com/careers/careers/benefits,Re:Build Benefits
Via Transporation,"Transforming global transport systems into efficient, affordable, and sustainable networks with cutting-edge software.",,https://climatebase.org/job/60630953/field-operations-manager,https://www.linkedin.com/company/poptransport,https://climatebase.org/job/60630953/field-operations-manager/careers,https://climatebase.org/job/60630953/field-operations-manager/careers,https://climatebase.org/job/60630953/field-operations-manager/careers/company/1133858/via-transporation?source=job_directory,Via Transporation,https://climatebase.org/job/60630953/field-operations-manager/careers/company/1133858/via-transporation?source=job_directory,Via Transporation,https://climatebase.org/job/60630953/field-operations-manager/careers/company/1133858/via-transporation?source=job_directory,Via Transporation
Lucid Motors,Innovative electric vehicles redefining sustainable mobility and elevating the driving experience.,,https://lucidmotors.com/,https://www.linkedin.com/company/lucidmotors,https://lucidmotors.com/careers,,https://lucidmotors.com/careers/careers/search,Explore open positions,https://lucidmotors.com/careers/careers/culture,Find out more,https://lucidmotors.com/careers/careers/diversity,Find out more
Outrider,Automating yard operations with zero-emission systems for sustainable freight transportation.,,https://www.outrider.ai/,https://www.linkedin.com/company/outridertech,https://www.outrider.ai/careers,,https://www.outrider.ai/careers/,Careers,,,,
Base Power Company,Revolutionizing home energy with distributed batteries for grid support and outage protection at low cost.,,https://www.basepowercompany.com/,https://www.linkedin.com/company/basepowercompany,https://www.basepowercompany.com/careers,,,,,,,
Greenlight Biosciences,"Nature-powered, eco-friendly crop protection solutions for sustainable agriculture.",,https://www.greenlightbiosciences.com/,https://www.linkedin.com/company/greenlight-biosciences,https://www.greenlightbiosciences.com/careers,,,,,,,
GoodLeap,Democratizing sustainable home upgrades with $27 billion in financing and AI-driven tools since 2018.,,https://www.goodleap.com/,https://www.linkedin.com/company/goodleap,https://www.goodleap.com/careers,https://jobs.lever.co/goodleap,https://jobs.lever.co/goodleap/d994a697-6bcf-4bfd-9742-f2942b8e92a9,Apply,https://jobs.lever.co/goodleap/d994a697-6bcf-4bfd-9742-f2942b8e92a9,Apply,https://jobs.lever.co/goodleap/d994a697-6bcf-4bfd-9742-f2942b8e92a9,Apply
AiDash,Climate-resilient infrastructure with satellite-powered AI for sustainability and cost efficiency.,,https://www.aidash.com/,https://www.linkedin.com/company/aidash,https://www.aidash.com/careers/,https://jobs.lever.co/aidash,https://jobs.lever.co/aidash/cca463a3-4c94-4d28-b76a-153ca160d410,Apply,https://jobs.lever.co/aidash/cca463a3-4c94-4d28-b76a-153ca160d410,Apply,https://jobs.lever.co/aidash/cca463a3-4c94-4d28-b76a-153ca160d410,Apply
Plus,"AI-powered autonomous driving for a safer, greener world.",,https://plus.ai/,https://www.linkedin.com/company/plusai,https://plus.ai/careers,https://jobs.lever.co/plus-2/6844904b-ccbf-41ba-924c-6a5d8ba572d5,https://jobs.lever.co/plus-2/6844904b-ccbf-41ba-924c-6a5d8ba572d5/apply,Apply for this job,https://jobs.lever.co/plus-2/6844904b-ccbf-41ba-924c-6a5d8ba572d5/apply,Apply for this job,https://jobs.lever.co/plus-2/6844904b-ccbf-41ba-924c-6a5d8ba572d5/apply,Apply for this job
